ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt,compound,score
1478808627515465731,This would be amazing for watching Bollinger Bands Bitcoin,CryptoTone,29,0,0,Wed Jan 05 19:20:26 +0000 2022,0.5859,17.576999999999998
1478808628085862401,RT : The civilization that channels energy most effectively always wins. Bitcoin /XbSXXlfOG7,₿itMaster,9,2981,0,Wed Jan 05 19:20:26 +0000 2022,0.8503,8.503
1478808630539468802,RT : Goldman Sachs: “Bitcoin to $100k”Translation: “Now that our bags are full we gonna pump it 🌕”,GeekAltcoin,3,17,0,Wed Jan 05 19:20:27 +0000 2022,0.0,0.0
1478808630568882179,RT : Stoked with my AI ROSE NFT 😍 Please retweet this and help me win more $ROSE 😍🚀Crypto r…,atomiser32,212,37,0,Wed Jan 05 19:20:27 +0000 2022,0.9334,198.8142
1478808631919398912,RT : NEED a JOB?Sign up now /rMErDK45VPFREE. NO MIDDLEMENJob WomenWhoCode Programming Coding gamers indi…,LeetcodeBot,1659,12,0,Wed Jan 05 19:20:27 +0000 2022,-0.4466,-741.356
1478808633605562369,RT : Ray Dalio:  Allocating 2% of your portfolio to Bitcoin is reasonable,☣️ Uncle Sam ⚡,160,242,0,Wed Jan 05 19:20:27 +0000 2022,0.0,0.0
1478808634360352768,RT : One of the $500 Btc winner haven’t responded yet should we pick a different winner or wait for another 24hrs ? ( Cz dinner…,Rudi,16,321,0,Wed Jan 05 19:20:28 +0000 2022,0.8225,13.9825
1478808635102924800,What is this ???new tax and coin seizure laws.!!!bitcoin will be washed long before then. You do… /tAxYeEvYPR,Albert Coiner ☂️ ⚡️🇬🇧,233,0,0,Wed Jan 05 19:20:28 +0000 2022,0.0,0.0
1478808636625338368,RT : There are actually a lot of altcoins showing good strength in spite of bitcoin looking sad. The more the industry grow…,Lark Davis,2894,201,0,Wed Jan 05 19:20:28 +0000 2022,-0.1027,-297.3165
1478808636633894913,RT : Web 3.0 is all about a more transparent and fairer network where everyone can participate without fearing a loss of priv…,Milad,180,17,0,Wed Jan 05 19:20:28 +0000 2022,0.6072,109.9032
1478808639083204611,"Invisible friends is another collection of NFTs to keep your eyes on, Fomos! metafomos Metaverse meta 1000xgem… /JBSFUktwS9",MetaFomos,202,1,3,Wed Jan 05 19:20:29 +0000 2022,0.5255,426.70599999999996
1478808641171902467,RT : 🎙 New Project🔷 TradingPlanet (TP)🔶 TradingPlanet is a decentralized Automated Market Maker (AMM) based on the Bina…,Tanvir hasan,225,334,0,Wed Jan 05 19:20:29 +0000 2022,0.5859,132.4134
1478808644690984960,Interesting BTC IV activity... IV rising but being lead by longer expirations... Rising Vol with Steepening Conta… /yloYM1ndnt,GenesisVolatility,10307,5,19,Wed Jan 05 19:20:30 +0000 2022,0.2144,44200.704000000005
