ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt,compound,score
1480722321442672640,RT : $TCT Have you heard about wildcardgame ? I have and it's great !!  Don’t let what you can’t do interfere wi…,Rohit,153,5,0,Tue Jan 11 02:04:46 +0000 2022,0.6892,106.13680000000001
1480722322763890697,"RT : New airdrop: Influencio (USDT)Total Reward: 3,000 USDTRate: ⭐️⭐️⭐️⭐️Winners: 1,000 Random &amp; Top 100Distribution: wi…",Lynx Sao,1,8342,0,Tue Jan 11 02:04:46 +0000 2022,0.6705,1.341
1480722326186598400,RT : 💥BMB  Pre-Sale 2 with a discount Bonus Live⌛️ the end PRE SELL BMB💢only 24 DAYS is left🧭End Pre sell 05 February 2022✅…,Chef Khalyfa,29,8,0,Tue Jan 11 02:04:47 +0000 2022,-0.0516,-1.548
1480722326434074631,RT : In 1980 people said the same thing about silver futures after it topped at $50. “It then sank to a low of $3.65 and did not star…,you_love01p,4418,56,0,Tue Jan 11 02:04:47 +0000 2022,-0.2732,-1207.2708
1480722329604739072,RT : Live AMA on NOW🔥/Dq1AQzmTRfnfts nft nftart nftartist nftcollector cryptoart digitalart nftcommunity…,Poppy_thecavdach,15,1,0,Tue Jan 11 02:04:48 +0000 2022,0.0,0.0
1480722332155011072,**Bitcoin doubters thinking this is the end**Me knowing I'd buy $BTC even at $0.0000001 /t6dI9makBF,Moon,7617,0,0,Tue Jan 11 02:04:49 +0000 2022,-0.3182,-2424.0476
1480722332683743235,RT : 🌟I want to work with multiple NFTProjects and want to help them gain exposure and gain a active fanbase!Dm me for a paid…,Toshiro,4,40,0,Tue Jan 11 02:04:49 +0000 2022,0.92,4.6000000000000005
1480722333329498119,"RT : While Bitcoin dips below $40,000Let's take a look what happened in 2021 building the momentum and foundation for B…",⚡₿⚡,261,213,0,Tue Jan 11 02:04:49 +0000 2022,0.0,0.0
1480722335967571972,RT : 💧 TTAP Airdrop 💧🏆 Task:          ➕ 5 USDT for 300 random participants.👨‍👩‍👧 Referral:   ➕ 25 USDT for top 20 referre…,Arif Shikder,5,468,0,Tue Jan 11 02:04:50 +0000 2022,0.2023,1.2138
1480722336043130880,RT : Bill Miller on why so many financial luminaries failed to grok Bitcoin.⚾️ /9lMFkzdaAe,Stonktoshi Nakafomo,79,266,0,Tue Jan 11 02:04:50 +0000 2022,-0.5106,-40.848000000000006
1480722338114981889,"RT : Yesss, you read it right!! We are a team of 10K now 🎉🎉🎊🎊Thank You everyone for showing soo much support 🙌💪Polysports …",please pick meeeeee picknava/pickaw🎉🍀,41,670,0,Tue Jan 11 02:04:50 +0000 2022,0.8264,34.708800000000004
1480722342154321922,"RT : The air coin in your eyes is in the whole world, in the universe, the world is changing in AIRCASH, and anonymous prop…",灯塔,1,282,0,Tue Jan 11 02:04:51 +0000 2022,0.0,0.0
1480722353776578561,"RT : Yess Yess, Polysports will be the one-stop for your favorite Fantasy Sports.🎯🎮Polysports BTC BNB BSC MATIC DFS N…",please pick meeeeee picknava/pickaw🎉🍀,41,3197,0,Tue Jan 11 02:04:54 +0000 2022,0.4588,19.2696
1480722358000177154,RT : This is insane...+1351.36% in a week/g9V9fiJeJSBSCGems meme token DogeNFTCollector shiba doge…,aayyybonk,24,9,0,Tue Jan 11 02:04:55 +0000 2022,0.0,0.0
1480722360441339904,RT : Show me beautiful NFT Projects in the comments! 💯I'll pick one and retweet it 🔥NFTCommunity OpenSeaNFT NFTGaming NF…,en🍀,486,720,0,Tue Jan 11 02:04:55 +0000 2022,0.636,309.732
1480722361959661576,RT : Show me beautiful NFT Projects in the comments! 💯I'll pick one and retweet it 🔥NFTCommunity OpenSeaNFT NFTGaming NF…,Rizki Amalia,0,720,0,Tue Jan 11 02:04:56 +0000 2022,0.636,0.636
1480722366250594304,[BTCUSDT - WEEK] BTC BTCUSDT BINANCE BTCUSD CRYPTO BITFINEX BITCOINGRAPHIC OKEX ETH ETHEREUM ETHUSDT… /goHKqW1ymn,Believe if you want,669,0,0,Tue Jan 11 02:04:57 +0000 2022,0.0,0.0
