ID,Text,UserName,UserFollowerCount,RetweetCount,Likes,CreatedAt
1480722416318005250,"RT @CoinsAirdrops: #Bitcoin #Satoshi #crypto #blockchain #AirdropNew Airdrop #Yobit 📢“Get Free Coins”, play games and earn coins on Yobi…",Crypto Airdrops,1934,22,0,Tue Jan 11 02:05:09 +0000 2022
1480722413218414593,RT @Eric_BIGfund: Amazon stock as a public company:Down 6% in a day: 200+ times Down 15%+ over 3 days: 100+ times Down 80% or more: 6 ti…,Tony Pompliano,679,157,0,Tue Jan 11 02:05:08 +0000 2022
1480722410244653057,RT @BabyDogeInfo: Is #BabyDoge only crypto not affected by #Bitcoin too much ?,jafar,10,175,0,Tue Jan 11 02:05:07 +0000 2022
1480722409028206598,"@BitcoinIsSaving @COLDCARDwallet ""Give me your tired, your poor,Your huddled masses yearning to breathe free,The… https://t.co/uLe4b52BVC","Darío Llevat, M.D.",773,0,0,Tue Jan 11 02:05:07 +0000 2022
1480722408759693315,RT @davidgokhshtein: #bitcoin going to make the biggest comeback ever.,Jesse Davies,93,215,0,Tue Jan 11 02:05:07 +0000 2022
1480722404531847168,RT @AirdropStario: 💧 TTAP Airdrop 💧🏆 Task:          ➕ 5 USDT for 300 random participants.👨‍👩‍👧 Referral:   ➕ 25 USDT for top 20 referre…,Roysbtk,19,468,0,Tue Jan 11 02:05:06 +0000 2022
1480722399553363973,"RT @jingjie21567771: AIRCash is waiting for your arrival, and we will rush to the meta-universe together. Get some fresh airContract addr…",灯塔,1,268,0,Tue Jan 11 02:05:05 +0000 2022
1480722395707019266,RT @dazed420gaming: My Off Threat before 2k deleted it! #dazedgaming #PZGD #NBA #NBAAllStar #2kfreeagent #2kcrewfinder #2k22 #twitch #Twitt…,Pro Zone Gaming Division,996,1,0,Tue Jan 11 02:05:04 +0000 2022
1480722395551969284,RT @LaserHodl: Turn away from the money changers and towards #Bitcoin,GHOST OF Ragnar Danneskjold🇳🇬🏴󠁧󠁢󠁷󠁬󠁳󠁿🩺🔬,424,3,0,Tue Jan 11 02:05:04 +0000 2022
1480722395434414080,"@airdropinspect Excellent project, i hope it will be one of the best project in the airdrop history. I am really ha… https://t.co/fW8QKFl525",Abdul Lotif Shahin,43,0,0,Tue Jan 11 02:05:04 +0000 2022
1480722394364973063,"RT @Airdropnotecom: #Bitcoin #Satoshi #crypto #blockchain #Airdrop”Get FREE CRYPTO up to $10,000 unlimited times and 15% STAKING!Shop at…",Crypto Airdrops,1694,2,0,Tue Jan 11 02:05:03 +0000 2022
1480722394260013056,RT @va11halla_bsc: Official “VA-11 HALL-A” Airdrop💰 500 winners will win a grand total of 5 billion $VALLHALLA tokens (10 million $VALLHA…,@Yogasedaw,386,28,0,Tue Jan 11 02:05:03 +0000 2022
1480722393257627651,🔴 Sell $LINK [SPOT]#LINKUSDTAverage Cost: $26.89Sell Price: $27.87Filled: 1.4875 #LINK / 41.46 #USDTPNL: $1.46… https://t.co/tFLqWyRUsU,CryptoMatic Bot,1228,0,0,Tue Jan 11 02:05:03 +0000 2022
1480722391806349312,Thank you @KlayThompson and @andre!!! @CashApp #PaidInBitcoinI was so surprised to see the notification 🔔☺️🎉 $50… https://t.co/haYGe5iakW,Kyle,6764,0,0,Tue Jan 11 02:05:03 +0000 2022
1480722390195834888,RT @usnotacoin: The man himself admits that $ETH isn’t ready for mass adoption and $USDT follows along. Its time for the rise of $XDC and $…,p.h.e.m.m.y♐🥇,159,37,0,Tue Jan 11 02:05:02 +0000 2022
1480722389738479617,Kosovo Police Confiscates Hundreds of Cryptocurrency Mining Machines - CryptoPotato https://t.co/Us40Br5rNp #crypto… https://t.co/6REwDP0tts,Crypto Scoop,860,0,0,Tue Jan 11 02:05:02 +0000 2022
1480722389398736901,"RT @AirdropDet: 🔍 New #Airdrop: The MetaFire💲Reward: Up to 333 MFC (~$6) + 382K MFG (~$7,650) referral pool🔴 Start the airdrop bot http…",Vezi Dukoh,0,1781,0,Tue Jan 11 02:05:02 +0000 2022
1480722385351614470,RT @ShitCoinBscGem: Which #memecoins Can Give 1000x Guy's 🤑🚀#Dogecoin | #SHIB | #BabyDogeCoin | #KISHU | #FLOKI | #CheemsInu | #FEG | #ca…,BIG WINS PLS,63,335,0,Tue Jan 11 02:05:01 +0000 2022
1480722382918754310,"RT @Aircoin_LNteam: We hope that all human beings can achieve the liberation of wealth,  minds, and souls through the power of AIR in a dec…",灯塔,1,359,0,Tue Jan 11 02:05:01 +0000 2022
1480722381173772288,"RT @MegaLitecoin: Once #mimblewimble is implemented, you're going to have a hard time explaining how #bitcoin is superior money versus #lit…",edward_crypto_hands,326,11,0,Tue Jan 11 02:05:00 +0000 2022
1480722379144048643,"air coin [Chaohua] # if you don't want to make leeks, please choose airIf you are still worrying about your liveli… https://t.co/zRhrZ3VYbY",春源,46,0,0,Tue Jan 11 02:05:00 +0000 2022
1480722378489487366,"Top 10 #Cryptocurrency Live Prices: (09:05 PM . Jan 10,2022)#BTC $41919.77#ETH $3088.49#BNB $425.50#DOGE $0.1… https://t.co/4QNPK5K6EK",Cryptocurrency prices (real-time),757,0,0,Tue Jan 11 02:05:00 +0000 2022
1480722374622334976,RT @BTCnHODL: Issues with retail &amp; #BTC:1. Considered too expensive - not understanding Sats are fractions of BTC2. Underestimating value…,GHOST OF Ragnar Danneskjold🇳🇬🏴󠁧󠁢󠁷󠁬󠁳󠁿🩺🔬,424,2,0,Tue Jan 11 02:04:59 +0000 2022
1480722373305409545,RT @natbrunell: #Bitcoin is inevitable,Tron M,206,160,0,Tue Jan 11 02:04:58 +0000 2022
1480722370079997952,RT @saylor: Investors are embracing #Bitcoin as Digital Gold.,ReSa,41,1413,0,Tue Jan 11 02:04:58 +0000 2022
1480722366250594304,[BTCUSDT - WEEK] #BTC #BTCUSDT #BINANCE #BTCUSD #CRYPTO #BITFINEX #BITCOINGRAPHIC #OKEX #ETH #ETHEREUM #ETHUSDT… https://t.co/goHKqW1ymn,Believe if you want,669,0,0,Tue Jan 11 02:04:57 +0000 2022
1480722361959661576,RT @RochiCrypto: Show me beautiful NFT Projects in the comments! 💯I'll pick one and retweet it 🔥#NFTCommunity #OpenSeaNFT #NFTGaming #NF…,Rizki Amalia,0,720,0,Tue Jan 11 02:04:56 +0000 2022
1480722360441339904,RT @RochiCrypto: Show me beautiful NFT Projects in the comments! 💯I'll pick one and retweet it 🔥#NFTCommunity #OpenSeaNFT #NFTGaming #NF…,en🍀,486,720,0,Tue Jan 11 02:04:55 +0000 2022
1480722358000177154,RT @Francis20394703: This is insane...+1351.36% in a weekhttps://t.co/g9V9fiJeJS#BSCGems #meme #token #DogeNFTCollector #shiba #doge…,aayyybonk,24,9,0,Tue Jan 11 02:04:55 +0000 2022
1480722353776578561,"RT @polysportsio: Yess Yess, Polysports will be the one-stop for your favorite Fantasy Sports.🎯🎮#Polysports #BTC #BNB #BSC #MATIC #DFS #N…",please pick meeeeee picknava/pickaw🎉🍀,41,3197,0,Tue Jan 11 02:04:54 +0000 2022
