time,high,low,open,close,conversionType,conversionSymbol
1641260820,46135.85,46112.31,46129.55,46112.54,direct,
1641260880,46116.3,46052.92,46112.54,46054.34,direct,
1641260940,46073.29,46052.22,46054.34,46070.75,direct,
1641261000,46085.22,46065.6,46070.75,46068.31,direct,
1641261060,46096.65,46061.11,46068.31,46075.72,direct,
1641261120,46104.34,46075.72,46075.72,46104.24,direct,
1641261180,46106.33,46081.17,46104.24,46093.93,direct,
1641261240,46114.02,46088.94,46093.93,46113.79,direct,
1641261300,46124.6,46090.06,46113.79,46090.06,direct,
1641261360,46098.32,46082.51,46090.06,46094.69,direct,
1641261420,46098.38,46088.21,46094.69,46089.45,direct,
1641261480,46093.91,46086.84,46089.45,46093.05,direct,
1641261540,46093.05,46072.9,46093.05,46073.61,direct,
1641261600,46146.94,46065.58,46073.61,46140.67,direct,
1641261660,46151.28,46113.95,46140.67,46120.45,direct,
1641261720,46120.45,46080.84,46120.45,46084.97,direct,
1641261780,46089.97,46077.0,46084.97,46077.0,direct,
1641261840,46104.39,46068.14,46077.0,46101.8,direct,
1641261900,46129.16,46099.85,46101.8,46118.49,direct,
1641261960,46118.49,46100.38,46118.49,46101.88,direct,
1641262020,46101.88,46077.05,46101.88,46080.1,direct,
1641262080,46080.73,46057.55,46080.1,46059.79,direct,
1641262140,46059.79,46019.18,46059.79,46039.97,direct,
1641262200,46041.33,46020.56,46039.97,46022.59,direct,
1641262260,46056.75,46011.31,46022.59,46056.75,direct,
1641262320,46082.85,46044.4,46056.75,46044.4,direct,
1641262380,46045.01,45992.82,46044.4,46027.17,direct,
1641262440,46036.65,45960.58,46027.17,45980.04,direct,
1641262500,46035.52,45979.74,45980.04,46008.95,direct,
1641262560,46012.23,45958.88,46008.95,45983.09,direct,
1641262620,46032.14,45982.6,45983.09,46028.25,direct,
1641262680,46041.13,46024.39,46028.25,46038.63,direct,
1641262740,46044.29,46018.06,46038.63,46021.37,direct,
1641262800,46035.5,46019.47,46021.37,46034.28,direct,
1641262860,46068.91,46034.08,46034.28,46068.65,direct,
1641262920,46123.12,46065.97,46068.65,46109.65,direct,
1641262980,46121.29,46105.18,46109.65,46109.23,direct,
1641263040,46109.23,46085.93,46109.23,46090.72,direct,
1641263100,46113.66,46089.48,46090.72,46113.66,direct,
1641263160,46132.91,46102.97,46113.66,46128.19,direct,
1641263220,46135.32,46121.17,46128.19,46122.24,direct,
1641263280,46151.26,46120.27,46122.24,46139.46,direct,
1641263340,46147.22,46133.74,46139.46,46137.47,direct,
1641263400,46144.79,46115.97,46137.47,46117.24,direct,
1641263460,46148.3,46115.86,46117.24,46148.16,direct,
1641263520,46153.92,46140.05,46148.16,46144.89,direct,
1641263580,46167.42,46142.99,46144.89,46158.47,direct,
1641263640,46186.46,46158.47,46158.47,46165.24,direct,
1641263700,46165.65,46127.8,46165.24,46135.59,direct,
1641263760,46142.26,46134.08,46135.59,46134.08,direct,
1641263820,46134.08,46085.62,46134.08,46098.38,direct,
1641263880,46112.73,46095.67,46098.38,46111.83,direct,
1641263940,46143.79,46100.69,46111.83,46143.79,direct,
1641264000,46194.01,46143.05,46143.79,46182.72,direct,
1641264060,46187.76,46176.36,46182.72,46185.31,direct,
1641264120,46208.85,46185.31,46185.31,46204.37,direct,
1641264180,46257.43,46192.44,46204.37,46231.48,direct,
1641264240,46236.74,46191.18,46231.48,46205.7,direct,
1641264300,46214.25,46195.6,46205.7,46206.82,direct,
1641264360,46206.82,46191.59,46206.82,46199.21,direct,
1641264420,46210.81,46187.4,46199.21,46208.67,direct,
1641264480,46233.67,46200.79,46208.67,46225.23,direct,
1641264540,46225.74,46167.41,46225.23,46167.42,direct,
1641264600,46172.7,46161.31,46167.42,46165.73,direct,
1641264660,46172.91,46137.63,46165.73,46142.12,direct,
1641264720,46154.08,46134.46,46142.12,46139.39,direct,
1641264780,46146.03,46100.91,46139.39,46113.85,direct,
1641264840,46117.26,46104.51,46113.85,46115.08,direct,
1641264900,46128.44,46109.37,46115.08,46122.51,direct,
1641264960,46132.11,46116.33,46122.51,46120.85,direct,
1641265020,46121.22,46103.46,46120.85,46109.7,direct,
1641265080,46113.33,46100.69,46109.7,46100.69,direct,
1641265140,46111.14,46100.59,46100.69,46111.13,direct,
1641265200,46143.03,46105.28,46111.13,46138.45,direct,
1641265260,46147.51,46123.43,46138.45,46123.48,direct,
1641265320,46123.48,46090.0,46123.48,46090.57,direct,
1641265320,46123.48,46090.0,46123.48,46090.57,direct,
1641265380,46099.58,46062.1,46090.57,46062.1,direct,
1641265440,46068.82,46052.89,46062.1,46055.46,direct,
1641265500,46059.2,46052.09,46055.46,46052.09,direct,
1641265560,46061.53,46032.32,46052.09,46032.33,direct,
1641265620,46051.31,46031.3,46032.33,46050.55,direct,
1641265680,46083.81,46048.02,46050.55,46083.81,direct,
1641265740,46089.06,46078.33,46083.81,46080.47,direct,
1641265800,46080.47,46043.2,46080.47,46051.05,direct,
1641265860,46074.04,46049.35,46051.05,46057.53,direct,
1641265920,46066.59,46053.79,46057.53,46057.86,direct,
1641265980,46057.89,46037.61,46057.86,46044.38,direct,
