Date,^GSPC,^VIX,Volume,BTC-USD
2021-10-06,4363.5498046875,21.0,49034730168.0,55361.44921875
2021-10-07,4399.759765625,19.540000915527344,36807860413.0,53805.984375
2021-10-08,4391.33984375,18.770000457763672,34800873924.0,53967.84765625
2021-10-09,4391.33984375,18.770000457763672,32491211414.0,54968.22265625
2021-10-10,4391.33984375,18.770000457763672,39527792364.0,54771.578125
2021-10-11,4361.18994140625,20.0,42637331698.0,57484.7890625
2021-10-12,4350.64990234375,19.850000381469727,41083758949.0,56041.05859375
2021-10-13,4363.7998046875,18.63999938964844,41684252783.0,57401.09765625
2021-10-14,4438.259765625,16.860000610351562,36615791366.0,57321.5234375
2021-10-15,4471.3701171875,16.299999237060547,51780081801.0,61593.94921875
2021-10-16,4471.3701171875,16.299999237060547,34250964237.0,60892.1796875
2021-10-17,4471.3701171875,16.299999237060547,29032367511.0,61553.6171875
2021-10-18,4486.4599609375,16.309999465942386,38055562075.0,62026.078125
2021-10-19,4519.6298828125,15.699999809265137,40471196346.0,64261.9921875
2021-10-20,4536.18994140625,15.489999771118164,40788955582.0,65992.8359375
2021-10-21,4549.77978515625,15.010000228881836,45908121370.0,62210.171875
2021-10-22,4544.89990234375,15.43000030517578,38434082775.0,60692.265625
2021-10-23,4544.89990234375,15.43000030517578,26882546034.0,61393.6171875
2021-10-24,4544.89990234375,15.43000030517578,27316183882.0,60930.8359375
2021-10-25,4566.47998046875,15.239999771118164,31064911614.0,63039.82421875
2021-10-26,4574.7900390625,15.979999542236328,34878965587.0,60363.79296875
2021-10-27,4551.68017578125,16.979999542236328,43657076893.0,58482.38671875
2021-10-28,4596.419921875,16.530000686645508,45257083247.0,60622.13671875
2021-10-29,4605.3798828125,16.260000228881836,36856881767.0,62227.96484375
2021-10-30,4605.3798828125,16.260000228881836,32157938616.0,61888.83203125
2021-10-31,4605.3798828125,16.260000228881836,32241199927.0,61318.95703125
2021-11-01,4613.669921875,16.40999984741211,36150572843.0,61004.40625
2021-11-02,4630.64990234375,16.030000686645508,37746665647.0,63226.40234375
2021-11-03,4660.56982421875,15.100000381469728,36124731509.0,62970.046875
2021-11-04,4680.06005859375,15.4399995803833,32615846901.0,61452.23046875
2021-11-05,4697.52978515625,16.479999542236328,30605102446.0,61125.67578125
2021-11-06,4697.52978515625,16.479999542236328,29094934221.0,61527.48046875
2021-11-07,4697.52978515625,16.479999542236328,24726754302.0,63326.98828125
2021-11-08,4701.7001953125,17.219999313354492,41125608330.0,67566.828125
2021-11-09,4685.25,17.780000686645508,42357991721.0,66971.828125
2021-11-10,4646.7099609375,18.729999542236328,48730828378.0,64995.23046875
2021-11-11,4649.27001953125,17.65999984741211,35880633236.0,64949.9609375
2021-11-12,4682.85009765625,16.290000915527347,36084893887.0,64155.94140625
2021-11-13,4682.85009765625,16.290000915527347,30474228777.0,64469.52734375
2021-11-14,4682.85009765625,16.290000915527347,25122092191.0,65466.83984375
2021-11-15,4682.7998046875,16.489999771118164,30558763548.0,63557.87109375
2021-11-16,4700.89990234375,16.370000839233402,46844335592.0,60161.24609375
2021-11-17,4688.669921875,17.110000610351562,39178392930.0,60368.01171875
2021-11-18,4704.5400390625,17.59000015258789,41388338699.0,56942.13671875
2021-11-19,4697.9599609375,17.90999984741211,38702407772.0,58119.578125
2021-11-20,4697.9599609375,17.90999984741211,30624264863.0,59697.1953125
2021-11-21,4697.9599609375,17.90999984741211,26123447605.0,58730.4765625
2021-11-22,4682.93994140625,19.170000076293945,35036121783.0,56289.2890625
2021-11-23,4690.7001953125,19.3799991607666,37485803899.0,57569.07421875
2021-11-24,4701.4599609375,18.57999992370605,36635566789.0,56280.42578125
2021-11-25,4701.4599609375,18.57999992370605,34284016248.0,57274.6796875
2021-11-26,4594.6201171875,28.6200008392334,41810748221.0,53569.765625
2021-11-27,4594.6201171875,28.6200008392334,30560857714.0,54815.078125
2021-11-28,4594.6201171875,28.6200008392334,28116886357.0,57248.45703125
2021-11-29,4655.27001953125,22.959999084472656,32370840356.0,57806.56640625
2021-11-30,4567.0,27.190000534057607,36708594618.0,57005.42578125
2021-12-01,4513.0400390625,31.1200008392334,36858195307.0,57229.828125
2021-12-02,4577.10009765625,27.95000076293945,32379968686.0,56477.81640625
2021-12-03,4538.43017578125,30.670000076293945,39789134215.0,53598.24609375
2021-12-04,4538.43017578125,30.670000076293945,61385677469.0,49200.703125
2021-12-05,4538.43017578125,30.670000076293945,37198201161.0,49368.84765625
2021-12-06,4591.669921875,27.18000030517578,37707308001.0,50582.625
2021-12-07,4686.75,21.88999938964844,33676814852.0,50700.0859375
2021-12-08,4701.2099609375,19.899999618530277,28479699446.0,50504.796875
2021-12-09,4667.4501953125,21.57999992370605,29603577251.0,47672.12109375
2021-12-10,4712.02001953125,18.690000534057614,30966005122.0,47243.3046875
2021-12-11,4712.02001953125,18.690000534057614,25775869261.0,49362.5078125
2021-12-12,4712.02001953125,18.690000534057614,21939223599.0,50098.3359375
2021-12-13,4668.97021484375,20.309999465942383,32166727776.0,46737.48046875
2021-12-14,4634.08984375,21.88999938964844,34638619079.0,46612.6328125
2021-12-15,4709.85009765625,19.290000915527344,36541828520.0,48896.72265625
2021-12-16,4668.669921875,20.56999969482422,27268150947.0,47665.42578125
2021-12-17,4620.64013671875,21.56999969482422,32902725329.0,46202.14453125
2021-12-18,4620.64013671875,21.56999969482422,26098292690.0,46848.77734375
2021-12-19,4620.64013671875,21.56999969482422,25154053861.0,46707.015625
2021-12-20,4568.02001953125,22.8700008392334,30961902129.0,46880.27734375
